Origem,Origem (IATA),Origem (ICAO),Saida,Chegada,Destino,Destino (IATA),Destino (ICAO),Periodo,Frequencia
Brasília,BSB,SBBR,09:05,11:50,Recife,REC,SBRF,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,21:00,23:45,Recife,REC,SBRF,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,07:05,08:50,Santos Dumont,SDU,SBRJ,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,08:55,10:40,Santos Dumont,SDU,SBRJ,01/maio - 31/maio,Sexta Sábado Domingo
Brasília,BSB,SBBR,10:45,12:25,Santos Dumont,SDU,SBRJ,01/maio - 31/maio,Quinta
Brasília,BSB,SBBR,12:25,14:05,Santos Dumont,SDU,SBRJ,01/maio - 31/maio,Sexta Sábado Domingo
Brasília,BSB,SBBR,15:10,16:50,Santos Dumont,SDU,SBRJ,01/maio - 31/maio,Sábado
Brasília,BSB,SBBR,15:10,16:50,Santos Dumont,SDU,SBRJ,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,17:50,19:35,Santos Dumont,SDU,SBRJ,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,20:40,22:25,Santos Dumont,SDU,SBRJ,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,08:35,11:00,São Luís,SLZ,SBSL,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,08:40,10:35,Salvador,SSA,SBSV,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,12:00,14:00,Salvador,SSA,SBSV,01/maio - 31/maio,Sexta Domingo
Brasília,BSB,SBBR,16:30,18:25,Salvador,SSA,SBSV,01/maio - 31/maio,Quinta
Brasília,BSB,SBBR,20:50,22:45,Salvador,SSA,SBSV,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,22:30,00:45,Teresina,THE,SBTE,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,09:00,10:40,Viracopos,VCP,SBKP,01/maio - 31/maio,Sexta Sábado Domingo
Bonito,BYO,SBDB,12:45,15:40,Congonhas,CGH,SBSP,01/maio - 31/maio,Terça Sábado
Cascavel,CAC,SBCA,11:20,12:55,Guarulhos,GRU,SBGR,01/maio - 31/maio,Domingo
Cascavel,CAC,SBCA,20:25,22:00,Guarulhos,GRU,SBGR,01/maio - 31/maio,Sexta
Cuiabá,CGB,SBCY,10:35,13:50,Congonhas,CGH,SBSP,01/maio - 31/maio,Sexta
Cuiabá,CGB,SBCY,10:55,14:10,Congonhas,CGH,SBSP,01/maio - 31/maio,Sábado Domingo
Cuiabá,CGB,SBCY,10:15,13:55,Galeão,GIG,SBGL,01/maio - 31/maio,Terça Quinta Sábado
Cuiabá,CGB,SBCY,01:55,05:10,Guarulhos,GRU,SBGR,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Cuiabá,CGB,SBCY,17:00,20:20,Guarulhos,GRU,SBGR,01/maio - 31/maio,Sexta
Cuiabá,CGB,SBCY,17:45,21:05,Guarulhos,GRU,SBGR,01/maio - 31/maio,Domingo
Congonhas,CGH,SBSP,11:50,12:45,Campo Grande,CGR,SBCG,01/maio - 31/maio,Sexta Sábado Domingo
Congonhas,CGH,SBSP,11:15,12:45,Caldas Novas,CLV,SBCN,01/maio - 31/maio,Quinta Domingo
Congonhas,CGH,SBSP,06:30,07:55,Confins,CNF,SBCF,01/maio - 31/maio,Sexta Sábado Segunda Terça Quarta Quinta
Congonhas,CGH,SBSP,08:05,09:30,Confins,CNF,SBCF,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,CGH,SBSP,09:00,10:25,Confins,CNF,SBCF,01/maio - 31/maio,Sexta Sábado Segunda Terça Quarta Quinta
Congonhas,CGH,SBSP,10:10,11:30,Confins,CNF,SBCF,01/maio - 31/maio,Sexta Sábado
Congonhas,CGH,SBSP,10:30,11:50,Confins,CNF,SBCF,01/maio - 31/maio,Sábado
Congonhas,CGH,SBSP,14:20,15:45,Confins,CNF,SBCF,01/maio - 31/maio,Sexta
Congonhas,CGH,SBSP,14:50,16:10,Confins,CNF,SBCF,01/maio - 31/maio,Domingo
Congonhas,CGH,SBSP,16:25,17:50,Confins,CNF,SBCF,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,CGH,SBSP,17:20,18:45,Confins,CNF,SBCF,01/maio - 31/maio,Sexta Sábado Segunda Terça Quarta Quinta
Congonhas,CGH,SBSP,18:40,19:55,Confins,CNF,SBCF,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,CGH,SBSP,20:40,22:05,Confins,CNF,SBCF,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,CGH,SBSP,07:10,08:20,Curitiba,CWB,SBCT,01/maio - 31/maio,Sexta Sábado
Congonhas,CGH,SBSP,08:10,09:15,Curitiba,CWB,SBCT,01/maio - 31/maio,Sábado Domingo
Congonhas,CGH,SBSP,08:30,09:40,Curitiba,CWB,SBCT,01/maio - 31/maio,Sexta Segunda Terça Quarta Quinta
Congonhas,CGH,SBSP,10:25,11:35,Curitiba,CWB,SBCT,01/maio - 31/maio,Sexta Segunda Terça Quarta Quinta
Congonhas,CGH,SBSP,13:05,14:15,Curitiba,CWB,SBCT,01/maio - 31/maio,Sexta Domingo
Congonhas,CGH,SBSP,14:40,15:50,Curitiba,CWB,SBCT,01/maio - 31/maio,Domingo
Congonhas,CGH,SBSP,15:25,16:35,Curitiba,CWB,SBCT,01/maio - 31/maio,Terça
Congonhas,CGH,SBSP,15:45,16:55,Curitiba,CWB,SBCT,01/maio - 31/maio,Segunda Quarta Quinta Sexta
Congonhas,CGH,SBSP,16:40,17:50,Curitiba,CWB,SBCT,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,CGH,SBSP,18:15,19:20,Curitiba,CWB,SBCT,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,CGH,SBSP,19:10,20:10,Curitiba,CWB,SBCT,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,CGH,SBSP,21:00,22:05,Curitiba,CWB,SBCT,01/maio - 31/maio,Sexta Domingo
Congonhas,CGH,SBSP,10:55,12:30,Caxias do Sul,CXJ,SBCX,01/maio - 31/maio,Terça
Congonhas,CGH,SBSP,11:15,12:55,Caxias do Sul,CXJ,SBCX,01/maio - 31/maio,Domingo Segunda Terça Quarta Quinta
Congonhas,CGH,SBSP,07:05,08:25,Florianópolis,FLN,SBFL,01/maio - 31/maio,Sexta Sábado Segunda Terça Quarta Quinta
Congonhas,CGH,SBSP,10:30,11:50,Florianópolis,FLN,SBFL,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,CGH,SBSP,13:30,14:50,Florianópolis,FLN,SBFL,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
