Origem,Saida,Chegada,Destino,Periodo,Frequencia
Congonhas,09:15,12:45,Fortaleza,01/maio - 31/maio,Sábado
Congonhas,10:00,13:30,Fortaleza,01/maio - 31/maio,Sexta Domingo
Congonhas,12:40,16:10,Fortaleza,01/maio - 31/maio,Sábado
Congonhas,22:00,01:30,Fortaleza,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,06:25,07:30,Galeão,01/maio - 31/maio,Sexta
Congonhas,06:45,07:50,Galeão,01/maio - 31/maio,Sábado Domingo
Congonhas,10:55,12:05,Galeão,01/maio - 31/maio,Sábado Domingo
Congonhas,11:15,12:25,Galeão,01/maio - 31/maio,Terça
Congonhas,14:25,15:35,Galeão,01/maio - 31/maio,Sexta Domingo
Congonhas,18:15,19:35,Galeão,01/maio - 31/maio,Domingo
Congonhas,18:30,19:50,Galeão,01/maio - 31/maio,Sexta
Congonhas,18:35,19:50,Galeão,01/maio - 31/maio,Domingo
Congonhas,22:20,23:35,Galeão,01/maio - 31/maio,Domingo
Congonhas,06:55,08:40,Goiânia,01/maio - 31/maio,Sexta Sábado Segunda Terça Quarta Quinta
Congonhas,09:30,11:15,Goiânia,01/maio - 31/maio,Sexta Sábado Segunda Terça Quarta Quinta
Congonhas,14:30,16:15,Goiânia,01/maio - 31/maio,Sexta
Congonhas,15:35,17:20,Goiânia,01/maio - 31/maio,Sábado Domingo
Congonhas,16:25,18:10,Goiânia,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,21:15,22:55,Goiânia,01/maio - 31/maio,Sexta
Congonhas,21:30,23:10,Goiânia,01/maio - 31/maio,Domingo
Congonhas,11:40,13:30,Foz do Iguaçu,01/maio - 31/maio,Domingo
Congonhas,12:00,13:50,Foz do Iguaçu,01/maio - 31/maio,Sexta Sábado
Congonhas,11:10,13:20,Ilhéus,01/maio - 31/maio,Sábado
Congonhas,11:10,12:25,Zona da Mata,01/maio - 31/maio,Segunda Quarta Sexta Domingo
Congonhas,11:30,12:35,Joinville,01/maio - 31/maio,Sexta
Congonhas,12:05,13:10,Joinville,01/maio - 31/maio,Sábado Domingo
Congonhas,21:10,22:15,Joinville,01/maio - 31/maio,Sexta Domingo
Congonhas,13:45,17:00,João Pessoa,01/maio - 31/maio,Sábado
Congonhas,10:50,12:10,Londrina,01/maio - 31/maio,Domingo
Congonhas,12:45,14:00,Londrina,01/maio - 31/maio,Sexta
Congonhas,09:30,12:30,Maceió,01/maio - 31/maio,Sábado
Congonhas,14:50,17:50,Maceió,01/maio - 31/maio,Sábado
Congonhas,22:10,01:10,Maceió,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,13:15,14:40,Maringá,01/maio - 31/maio,Sexta Sábado Domingo
Congonhas,13:40,15:25,Montes Claros,01/maio - 31/maio,Domingo
Congonhas,14:05,15:50,Montes Claros,01/maio - 31/maio,Sexta Segunda Terça Quarta Quinta
Congonhas,07:45,09:05,Navegantes,01/maio - 31/maio,Sexta Sábado Segunda Terça Quarta Quinta
Congonhas,09:45,10:55,Navegantes,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,14:25,15:40,Navegantes,01/maio - 31/maio,Sexta Domingo
Congonhas,14:25,15:35,Navegantes,01/maio - 31/maio,Sábado
Congonhas,16:05,17:15,Navegantes,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,17:25,18:40,Navegantes,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,07:00,08:45,Porto Alegre,01/maio - 31/maio,Sexta Sábado
Congonhas,08:15,10:00,Porto Alegre,01/maio - 31/maio,Sábado
Congonhas,08:15,10:00,Porto Alegre,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,09:05,10:50,Porto Alegre,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,11:00,12:50,Porto Alegre,01/maio - 31/maio,Sexta Sábado Domingo
Congonhas,14:40,16:25,Porto Alegre,01/maio - 31/maio,Sábado
Congonhas,15:25,17:10,Porto Alegre,01/maio - 31/maio,Sexta Domingo
Congonhas,15:45,17:30,Porto Alegre,01/maio - 31/maio,Sábado
Congonhas,16:40,18:25,Porto Alegre,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,17:40,19:20,Porto Alegre,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,19:25,21:15,Porto Alegre,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,20:20,22:10,Porto Alegre,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,12:00,13:20,Presidente Prudente,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,08:05,09:20,Ribeirão Preto,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,16:55,18:00,Ribeirão Preto,01/maio - 31/maio,Sexta Domingo
Congonhas,06:35,09:50,Recife,01/maio - 31/maio,Sábado
Congonhas,06:55,10:10,Recife,01/maio - 31/maio,Domingo
Congonhas,07:00,10:15,Recife,01/maio - 31/maio,Sexta Segunda Terça Quarta Quinta
Congonhas,14:40,18:00,Recife,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,18:35,21:55,Recife,01/maio - 31/maio,Sexta
Congonhas,19:20,22:40,Recife,01/maio - 31/maio,Domingo
Congonhas,20:55,00:15,Recife,01/maio - 31/maio,Sábado
Congonhas,22:05,01:15,Recife,01/maio - 31/maio,Terça Quinta
Congonhas,06:05,07:10,Santos Dumont,01/maio - 31/maio,Sexta
Congonhas,06:20,07:25,Santos Dumont,01/maio - 31/maio,Sábado
Congonhas,06:45,07:50,Santos Dumont,01/maio - 31/maio,Sexta
Congonhas,07:00,08:05,Santos Dumont,01/maio - 31/maio,Sábado
Congonhas,07:30,08:35,Santos Dumont,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,08:00,09:05,Santos Dumont,01/maio - 31/maio,Sexta Sábado Segunda Terça Quarta Quinta
Congonhas,08:40,09:45,Santos Dumont,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,09:20,10:25,Santos Dumont,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,10:05,11:15,Santos Dumont,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,10:45,11:50,Santos Dumont,01/maio - 31/maio,Sexta Sábado Segunda Terça Quarta Quinta
Congonhas,11:15,12:20,Santos Dumont,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,11:45,12:50,Santos Dumont,01/maio - 31/maio,Sexta Sábado Segunda Terça Quarta Quinta
Congonhas,12:25,13:30,Santos Dumont,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,13:00,14:05,Santos Dumont,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,14:00,15:05,Santos Dumont,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,14:35,15:40,Santos Dumont,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,15:10,16:15,Santos Dumont,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,15:35,16:40,Santos Dumont,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,16:15,17:20,Santos Dumont,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,16:45,17:50,Santos Dumont,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,17:35,18:40,Santos Dumont,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,18:25,19:25,Santos Dumont,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,18:55,20:00,Santos Dumont,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,19:35,20:40,Santos Dumont,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,20:10,21:15,Santos Dumont,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,20:50,21:55,Santos Dumont,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,10:45,12:00,São José do Rio Preto,01/maio - 31/maio,Sexta Sábado Domingo
Congonhas,22:05,23:20,São José do Rio Preto,01/maio - 31/maio,Segunda Quarta Sexta Domingo
Congonhas,06:00,08:30,Salvador,01/maio - 31/maio,Sexta Sábado Segunda Terça Quarta Quinta
Congonhas,07:05,09:35,Salvador,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,09:00,11:30,Salvador,01/maio - 31/maio,Sexta Sábado
Congonhas,11:30,14:05,Salvador,01/maio - 31/maio,Sábado Domingo
Congonhas,12:25,14:50,Salvador,01/maio - 31/maio,Sexta Segunda Terça Quarta Quinta
Congonhas,13:45,16:15,Salvador,01/maio - 31/maio,Sexta Sábado Domingo
Congonhas,15:25,17:55,Salvador,01/maio - 31/maio,Sábado
Congonhas,16:25,18:55,Salvador,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,19:40,22:10,Salvador,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,20:25,22:55,Salvador,01/maio - 31/maio,Sexta Domingo
Congonhas,11:40,12:50,Uberaba,01/maio - 31/maio,Terça Quinta
Congonhas,12:35,13:50,Uberaba,01/maio - 31/maio,Domingo
Congonhas,13:20,14:40,Uberlândia,01/maio - 31/maio,Sexta Domingo
Congonhas,06:10,07:45,Vitória,01/maio - 31/maio,Sábado
Congonhas,08:45,10:20,Vitória,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,13:45,15:25,Vitória,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,20:15,21:55,Vitória,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,13:15,14:50,Chapecó,01/maio - 31/maio,Sexta Domingo
Campo Grande,10:15,12:55,Guarulhos,01/maio - 31/maio,Segunda Quarta Sexta Domingo
Campo Grande,16:25,19:05,Guarulhos,01/maio - 31/maio,Sexta
Campo Grande,17:20,20:10,Guarulhos,01/maio - 31/maio,Domingo
Campo Grande,17:45,20:40,Guarulhos,01/maio - 31/maio,Sábado
Campo Grande,19:15,22:00,Guarulhos,01/maio - 31/maio,Sexta
Carajás,13:10,15:40,Confins,01/maio - 31/maio,Domingo
Carajás,14:40,17:10,Confins,01/maio - 31/maio,Segunda Terça Quinta Sexta
Confins,01:10,02:15,Galeão,01/maio - 31/maio,Quinta
Confins,05:45,06:50,Galeão,01/maio - 31/maio,Domingo
