is_best,cia,departure,arrival,duration,stops,price,origem (IATA),origem (ICAO),origem,destino (IATA),destino (ICAO),destino,distancia
True,Gol,"9:10 PM on Fri, Sep 19","11:35 PM on Fri, Sep 19",2 hr 25 min,0,832,BSB,SBBR,Brasília,FLN,SBFL,Florianópolis,1308.36
True,Gol,"3:20 PM on Fri, Sep 19","4:40 PM on Fri, Sep 19",1 hr 20 min,0,296,MGF,SBMG,Maringá,CGH,SBSP,Congonhas,547.48
True,Gol,"2:50 PM on Fri, Sep 19","4:30 PM on Fri, Sep 19",1 hr 40 min,0,411,SSA,SBSV,Salvador,VIX,SBVT,Vitória,839.08
True,Gol,"12:05 AM on Fri, Sep 19","1:05 AM on Fri, Sep 19",2 hr,0,566,MAO,SBEG,Manaus,RBR,SBRB,Rio Branco,1150.12
True,Gol,"12:00 PM on Fri, Sep 19","3:40 PM on Fri, Sep 19",2 hr 40 min,0,1007,OPS,SWSI,Sinop,GRU,SBGR,Guarulhos,1601.81
True,Gol,"4:00 PM on Fri, Sep 19","6:05 PM on Fri, Sep 19",2 hr 5 min,0,1726,SSA,SBSV,Salvador,GYN,SBGO,Goiânia,1243.76
True,Gol,"1:30 PM on Fri, Sep 19","4:00 PM on Fri, Sep 19",1 hr 30 min,0,546,CGR,SBCG,Campo Grande,CGH,SBSP,Congonhas,897.84
True,Gol,"12:30 PM on Fri, Sep 19","1:40 PM on Fri, Sep 19",1 hr 10 min,0,795,MCZ,SBMO,Maceió,SSA,SBSV,Salvador,466.51
True,Gol,"10:35 AM on Fri, Sep 19","1:50 PM on Fri, Sep 19",2 hr 15 min,0,609,CGB,SBCY,Cuiabá,CGH,SBSP,Congonhas,1327.36
True,Gol,"11:45 AM on Fri, Sep 19","1:55 PM on Fri, Sep 19",1 hr 10 min,0,1052,MAO,SBEG,Manaus,STM,SBSN,Santarém,589.36
True,Gol,"2:20 PM on Fri, Sep 19","3:40 PM on Fri, Sep 19",1 hr 20 min,0,784,BPS,SBPS,Porto Seguro,CNF,SBCF,Confins,626.23
True,Gol,"7:45 PM on Fri, Sep 19","9:55 PM on Fri, Sep 19",2 hr 10 min,0,492,PET,SBPK,Pelotas,GRU,SBGR,Guarulhos,1084.19
True,Gol,"12:35 PM on Fri, Sep 19","1:50 PM on Fri, Sep 19",1 hr 15 min,0,704,CZS,SBCZ,Cruzeiro do Sul,RBR,SBRB,Rio Branco,591.85
True,Gol,"3:10 PM on Fri, Sep 19","3:55 PM on Fri, Sep 19",45 min,0,322,SSA,SBSV,Salvador,AJU,SBAR,Aracaju,252.55
True,Gol,"9:55 PM on Fri, Sep 19","11:55 PM on Fri, Sep 19",2 hr,0,523,GRU,SBGR,Guarulhos,VDC,SBQV,Vitória da Conquista,1117.02
True,Gol,"10:40 PM on Fri, Sep 19","12:55 AM on Sat, Sep 20",2 hr 15 min,0,1072,BSB,SBBR,Brasília,THE,SBTE,Teresina,1318.98
True,Gol,"3:15 PM on Fri, Sep 19","4:35 PM on Fri, Sep 19",2 hr 20 min,0,334,CGH,SBSP,Congonhas,CGB,SBCY,Cuiabá,1327.36
True,Gol,"8:45 AM on Fri, Sep 19","11:25 AM on Fri, Sep 19",2 hr 40 min,0,1862,BSB,SBBR,Brasília,JPA,SBJP,João Pessoa,1711.54
True,Gol,"2:00 AM on Fri, Sep 19","4:40 AM on Fri, Sep 19",2 hr 40 min,0,480,PNZ,SBPL,Petrolina,GRU,SBGR,Guarulhos,1679.19
True,Gol,"4:55 PM on Fri, Sep 19","7:05 PM on Fri, Sep 19",2 hr 10 min,0,532,GRU,SBGR,Guarulhos,PET,SBPK,Pelotas,1084.19
True,Gol,"10:50 AM on Fri, Sep 19","2:20 PM on Fri, Sep 19",3 hr 30 min,0,950,GIG,SBGL,Galeão,AEP,SABE,Aeroparque,1968.49
